"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2019","1,327.42","1,322.37","1,330.71","1,315.20","1.12B","0.68%"
"Nov 18, 2019","1,318.48","1,306.63","1,323.72","1,306.63","1.09B","1.40%"
"Nov 15, 2019","1,300.29","1,289.48","1,302.49","1,287.75","756.51M","1.55%"
"Nov 14, 2019","1,280.44","1,287.82","1,298.91","1,274.53","1.06B","-1.19%"
"Nov 13, 2019","1,295.92","1,287.65","1,297.68","1,282.40","897.64M","0.70%"
"Nov 12, 2019","1,286.87","1,278.11","1,292.58","1,278.11","880.52M","1.02%"
"Nov 11, 2019","1,273.92","1,272.52","1,284.08","1,264.69","800.01M","-0.17%"
"Nov 08, 2019","1,276.13","1,279.27","1,288.46","1,274.72","969.88M","-0.40%"
"Nov 07, 2019","1,281.24","1,257.57","1,281.24","1,257.57","1.07B","2.62%"
"Nov 06, 2019","1,248.51","1,241.99","1,254.79","1,237.85","662.22M","0.60%"
"Nov 05, 2019","1,241.02","1,234.41","1,243.10","1,230.87","653.73M","0.54%"
"Nov 04, 2019","1,234.32","1,223.12","1,239.22","1,221.25","674.76M","1.79%"
"Nov 01, 2019","1,212.65","1,216.48","1,217.89","1,203.21","527.58M","-0.08%"
"Oct 31, 2019","1,213.67","1,219.44","1,222.90","1,210.46","560.08M","-0.29%"
"Oct 30, 2019","1,217.25","1,220.35","1,230.06","1,215.61","595.26M","-1.26%"
